Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
0.0,0.0,0.0,0.0,0.0
0.0,-1.667,0.0,-0.0589,0.0625
0.0,-1.667,0.0,-0.0589,0.1719
0.0,0.0,0.0,0.0,0.234
0.001,6.67,0.004,0.236,0.297
0.002,20,0.008,0.707,0.359
0.003,36.7,0.012,1.297,0.422
0.004,58.3,0.016,2.06,0.484
0.006,81.7,0.024,2.89,0.547
0.007,100,0.028,3.54,0.609
0.008,118.3,0.032,4.19,0.672
0.009,135,0.036,4.77,0.734
0.01,153.3,0.04,5.42,0.797
0.011,171.7,0.044,6.07,0.859
0.012,186.7,0.048,6.6,0.922
0.013,198.3,0.052,7.01,0.984
0.014,205,0.056,7.25,1.047
0.015,212,0.06,7.49,1.109
0.016,217,0.064,7.66,1.172
0.017,222,0.068,7.84,1.234
0.018,227,0.072,8.02,1.297
0.019,230,0.076,8.13,1.359
0.02,233,0.08,8.25,1.422
0.021,238,0.084,8.43,1.484
0.023,243,0.092,8.61,1.547
0.024,250,0.096,8.84,1.609
0.025,255,0.1,9.02,1.672
0.026,258,0.104,9.14,1.734
0.027,260,0.108,9.2,1.797
0.028,263,0.112,9.31,1.859
0.029,268,0.116,9.49,1.922
0.03,273,0.12,9.67,1.984
0.031,277,0.124,9.79,2.05
0.032,280,0.128,9.9,2.11
0.033,283,0.132,10.02,2.17
0.034,285,0.136,10.08,2.23
0.035,290,0.14,10.26,2.3
0.036,295,0.144,10.43,2.36
0.037,300,0.148,10.61,2.42
0.038,303,0.152,10.73,2.48
0.039,305,0.156,10.79,2.55
0.04,308,0.16,10.91,2.61
0.041,312,0.164,11.02,2.67
0.043,317,0.172,11.2,2.73
0.044,320,0.176,11.32,2.8
0.044,323,0.176,11.44,2.86
0.045,325,0.18,11.49,2.92
0.046,328,0.184,11.61,2.98
0.048,333,0.192,11.79,3.05
0.049,337,0.196,11.91,3.11
0.05,342,0.2,12.08,3.17
0.051,345,0.204,12.2,3.23
0.052,348,0.208,12.32,3.3
0.053,352,0.212,12.44,3.36
0.054,355,0.216,12.56,3.42
0.055,360,0.22,12.73,3.48
0.056,365,0.224,12.91,3.55
0.057,368,0.228,13.03,3.61
0.058,370,0.232,13.09,3.67
0.059,373,0.236,13.2,3.73
0.06,377,0.24,13.32,3.8
0.061,382,0.244,13.5,3.86
0.062,387,0.248,13.68,3.92
0.063,390,0.252,13.79,3.98
0.064,392,0.256,13.85,4.05
0.065,395,0.26,13.97,4.11
0.066,398,0.264,14.09,4.17
0.068,403,0.272,14.26,4.23
0.069,408,0.276,14.44,4.3
0.07,412,0.28,14.56,4.36
0.071,415,0.284,14.68,4.42
0.071,417,0.284,14.74,4.48
0.073,420,0.292,14.85,4.55
0.074,423,0.296,14.97,4.61
0.075,428,0.3,15.15,4.67
0.076,432,0.304,15.27,4.73
0.077,435,0.308,15.38,4.8
0.078,437,0.312,15.44,4.86
0.079,440,0.316,15.56,4.92
0.08,445,0.32,15.74,4.98
0.081,450,0.324,15.92,5.05
0.082,455,0.328,16.09,5.11
0.083,458,0.332,16.21,5.17
0.084,462,0.336,16.33,5.23
0.085,463,0.34,16.39,5.3
0.086,467,0.344,16.5,5.36
0.087,472,0.348,16.68,5.42
0.088,475,0.352,16.8,5.48
0.089,478,0.356,16.92,5.55
0.09,482,0.36,17.04,5.61
0.091,485,0.364,17.15,5.67
0.092,488,0.368,17.27,5.73
0.094,492,0.376,17.39,5.8
0.095,497,0.38,17.57,5.86
0.096,500,0.384,17.68,5.92
0.096,502,0.384,17.74,5.98
0.097,505,0.388,17.86,6.05
0.099,508,0.396,17.98,6.11
0.1,513,0.4,18.16,6.17
0.101,517,0.404,18.27,6.23
0.102,520,0.408,18.39,6.3
0.103,523,0.412,18.51,6.36
0.104,525,0.416,18.57,6.42
0.105,528,0.42,18.69,6.48
0.106,533,0.424,18.86,6.55
0.107,537,0.428,18.98,6.61
0.108,542,0.432,19.16,6.67
0.109,543,0.436,19.22,6.73
0.11,545,0.44,19.28,6.8
0.111,548,0.444,19.39,6.86
0.112,552,0.448,19.51,6.92
0.113,557,0.452,19.69,6.98
0.114,562,0.456,19.86,7.05
0.115,563,0.46,19.92,7.11
0.116,567,0.464,20,7.17
0.117,568,0.468,20.1,7.23
0.118,573,0.472,20.3,7.3
0.119,577,0.476,20.4,7.36
0.121,582,0.484,20.6,7.42
0.121,583,0.484,20.6,7.48
0.122,587,0.488,20.7,7.55
0.123,588,0.492,20.8,7.61
0.125,593,0.5,21,7.67
0.126,597,0.504,21.1,7.73
0.127,602,0.508,21.3,7.8
0.128,603,0.512,21.3,7.86
0.129,607,0.516,21.5,7.92
0.13,608,0.52,21.5,7.98
0.131,612,0.524,21.6,8.05
0.132,617,0.528,21.8,8.11
0.133,622,0.532,22,8.17
0.134,623,0.536,22,8.23
0.135,627,0.54,22.2,8.3
0.136,628,0.544,22.2,8.36
0.137,632,0.548,22.3,8.42
0.138,637,0.552,22.5,8.48
0.139,642,0.556,22.7,8.55
0.14,645,0.56,22.8,8.61
0.141,647,0.564,22.9,8.67
0.142,648,0.568,22.9,8.73
0.143,652,0.572,23,8.8
0.145,655,0.58,23.2,8.86
0.146,660,0.584,23.3,8.92
0.147,663,0.588,23.5,8.98
0.148,667,0.592,23.6,9.05
0.149,668,0.596,23.6,9.11
0.15,672,0.6,23.8,9.17
0.151,677,0.604,23.9,9.23
0.152,680,0.608,24,9.3
0.153,683,0.612,24.2,9.36
0.154,685,0.616,24.2,9.42
0.155,688,0.62,24.3,9.48
0.156,690,0.624,24.4,9.55
0.157,695,0.628,24.6,9.61
0.158,700,0.632,24.8,9.67
0.159,703,0.636,24.9,9.73
0.16,705,0.64,24.9,9.8
0.161,708,0.644,25.1,9.86
0.162,710,0.648,25.1,9.92
0.163,715,0.652,25.3,9.98
0.164,718,0.656,25.4,10.05
0.165,723,0.66,25.6,10.11
0.166,725,0.664,25.6,10.17
0.167,728,0.668,25.8,10.23
0.168,730,0.672,25.8,10.3
0.17,735,0.68,26,10.36
0.171,740,0.684,26.2,10.42
0.172,743,0.688,26.3,10.48
0.173,747,0.692,26.4,10.55
0.174,748,0.696,26.5,10.61
0.175,750,0.7,26.5,10.67
0.176,755,0.704,26.7,10.73
0.177,758,0.708,26.8,10.8
0.178,762,0.712,26.9,10.86
0.179,765,0.716,27.1,10.92
0.18,767,0.72,27.1,10.98
0.181,770,0.724,27.2,11.05
0.182,773,0.728,27.4,11.11
0.183,778,0.732,27.5,11.17
0.184,782,0.736,27.6,11.23
0.185,785,0.74,27.8,11.3
0.186,787,0.744,27.8,11.36
0.187,790,0.748,27.9,11.42
0.188,793,0.752,28.1,11.48
0.189,797,0.756,28.2,11.55
0.19,802,0.76,28.4,11.61
0.191,805,0.764,28.5,11.67
0.192,807,0.768,28.5,11.73
0.193,808,0.772,28.6,11.8
0.194,812,0.776,28.7,11.86
0.196,817,0.784,28.9,11.92
0.197,820,0.788,29,11.98
0.198,823,0.792,29.1,12.05
0.199,825,0.796,29.2,12.11
0.2,827,0.8,29.2,12.17
0.201,830,0.804,29.4,12.23
0.202,835,0.808,29.5,12.3
0.203,838,0.812,29.6,12.36
0.204,843,0.816,29.8,12.42
0.205,845,0.82,29.9,12.48
0.206,847,0.824,29.9,12.55
0.207,850,0.828,30.1,12.61
0.208,853,0.832,30.2,12.67
0.209,857,0.836,30.3,12.73
0.21,862,0.84,30.5,12.8
0.211,863,0.844,30.5,12.86
0.212,865,0.848,30.6,12.92
0.213,868,0.852,30.7,12.98
0.214,872,0.856,30.8,13.05
0.215,875,0.86,30.9,13.11
0.216,880,0.864,31.1,13.17
0.217,883,0.868,31.2,13.23
0.218,887,0.872,31.4,13.3
0.219,888,0.876,31.4,13.36
0.22,892,0.88,31.5,13.42
0.222,897,0.888,31.7,13.48
0.223,900,0.892,31.8,13.55
0.224,903,0.896,31.9,13.61
0.225,905,0.9,32,13.67
0.226,908,0.904,32.1,13.73
0.227,912,0.908,32.2,13.8
0.228,917,0.912,32.4,13.86
0.229,920,0.916,32.5,13.92
0.23,923,0.92,32.7,13.98
0.231,925,0.924,32.7,14.05
0.232,927,0.928,32.8,14.11
0.233,930,0.932,32.9,14.17
0.234,933,0.936,33,14.23
0.235,938,0.94,33.2,14.3
0.236,942,0.944,33.3,14.36
0.237,943,0.948,33.4,14.42
0.238,945,0.952,33.4,14.48
0.239,948,0.956,33.5,14.55
0.24,952,0.96,33.7,14.61
0.241,957,0.964,33.8,14.67
0.242,960,0.968,34,14.73
0.243,962,0.972,34,14.8
0.244,965,0.976,34.1,14.86
0.245,967,0.98,34.2,14.92
0.247,972,0.988,34.4,14.98
0.248,975,0.992,34.5,15.05
0.249,978,0.996,34.6,15.11
0.25,982,1,34.7,15.17
0.251,983,1.004,34.8,15.23
0.252,987,1.008,34.9,15.3
0.253,990,1.012,35,15.36
0.254,993,1.016,35.1,15.42
0.255,998,1.02,35.3,15.48
0.256,1000,1.024,35.4,15.55
0.257,1002,1.028,35.4,15.61
0.258,1005,1.032,35.5,15.67
0.259,1008,1.036,35.7,15.73
0.26,1012,1.04,35.8,15.8
0.261,1017,1.044,36,15.86
0.262,1018,1.048,36,15.92
0.263,1020,1.052,36.1,15.98
0.264,1022,1.056,36.1,16.05
0.265,1027,1.06,36.3,16.11
0.266,1030,1.064,36.4,16.17
0.267,1033,1.068,36.5,16.23
0.268,1037,1.072,36.7,16.3
0.269,1038,1.076,36.7,16.36
0.27,1040,1.08,36.8,16.42
0.272,1043,1.088,36.9,16.48
0.273,1048,1.092,37.1,16.55
0.274,1052,1.096,37.2,16.61
0.275,1055,1.1,37.3,16.67
0.276,1057,1.104,37.4,16.73
0.277,1058,1.108,37.4,16.8
0.278,1062,1.112,37.5,16.86
0.279,1065,1.116,37.7,16.92
0.28,1070,1.12,37.8,16.98
0.281,1072,1.124,37.9,17.05
0.282,1075,1.128,38,17.11
0.283,1075,1.132,38,17.17
0.284,1078,1.136,38.1,17.23
0.285,1082,1.14,38.3,17.3
0.286,1087,1.144,38.4,17.36
0.287,1088,1.148,38.5,17.42
0.288,1092,1.152,38.6,17.48
0.289,1093,1.156,38.7,17.55
0.29,1097,1.16,38.8,17.61
0.291,1100,1.164,38.9,17.67
0.292,1105,1.168,39.1,17.73
0.293,1108,1.172,39.2,17.8
0.294,1110,1.176,39.3,17.86
0.295,1112,1.18,39.3,17.92
0.296,1115,1.184,39.4,17.98
0.298,1118,1.192,39.6,18.05
0.299,1123,1.196,39.7,18.11
0.3,1125,1.2,39.8,18.17
0.301,1128,1.204,39.9,18.23
0.302,1130,1.208,40,18.3
0.303,1132,1.212,40,18.36
0.304,1135,1.216,40.1,18.42
0.305,1138,1.22,40.3,18.48
0.306,1142,1.224,40.4,18.55
0.307,1145,1.228,40.5,18.61
0.308,1147,1.232,40.6,18.67
0.309,1150,1.236,40.7,18.73
0.31,1153,1.24,40.8,18.8
0.311,1157,1.244,40.9,18.86
0.312,1162,1.248,41.1,18.92
0.313,1163,1.252,41.1,18.98
0.314,1165,1.256,41.2,19.05
0.315,1167,1.26,41.3,19.11
0.316,1170,1.264,41.4,19.17
0.317,1175,1.268,41.6,19.23
0.318,1178,1.272,41.7,19.3
0.319,1182,1.276,41.8,19.36
0.32,1183,1.28,41.9,19.42
0.321,1185,1.284,41.9,19.48
0.323,1188,1.292,42,19.55
0.324,1192,1.296,42.1,19.61
0.325,1195,1.3,42.3,19.67
0.326,1198,1.304,42.4,19.73
0.327,1200,1.308,42.4,19.8
0.328,1203,1.312,42.6,19.86
0.329,1207,1.316,42.7,19.92
0.33,1210,1.32,42.8,19.98
0.331,1213,1.324,42.9,20
0.332,1215,1.328,43,20.1
0.333,1218,1.332,43.1,20.2
0.334,1220,1.336,43.1,20.2
0.335,1223,1.34,43.3,20.3
0.336,1227,1.344,43.4,20.4
0.337,1230,1.348,43.5,20.4
0.338,1233,1.352,43.6,20.5
0.339,1235,1.356,43.7,20.5
0.34,1237,1.36,43.7,20.6
0.341,1240,1.364,43.9,20.7
0.342,1243,1.368,44,20.7
0.344,1247,1.376,44.1,20.8
0.344,1250,1.376,44.2,20.9
0.345,1252,1.38,44.3,20.9
0.346,1253,1.384,44.3,21
0.347,1257,1.388,44.4,21
0.349,1260,1.396,44.6,21.1
0.35,1263,1.4,44.7,21.2
0.351,1267,1.404,44.8,21.2
0.352,1270,1.408,44.9,21.3
0.353,1272,1.412,45,21.4
0.354,1273,1.416,45,21.4
0.355,1277,1.42,45.2,21.5
0.356,1280,1.424,45.3,21.5
0.357,1283,1.428,45.4,21.6
0.358,1287,1.432,45.5,21.7
0.359,1288,1.436,45.6,21.7
0.36,1290,1.44,45.6,21.8
0.361,1292,1.444,45.7,21.9
0.362,1297,1.448,45.9,21.9
0.363,1300,1.452,46,22
0.364,1303,1.456,46.1,22
0.365,1305,1.46,46.2,22.1
0.366,1308,1.464,46.3,22.2
0.367,1312,1.468,46.4,22.2
0.369,1315,1.476,46.5,22.3
0.37,1318,1.48,46.6,22.4
0.371,1322,1.484,46.7,22.4
0.371,1323,1.484,46.8,22.5
0.373,1325,1.492,46.9,22.5
0.374,1328,1.496,47,22.6
0.375,1332,1.5,47.1,22.7
0.376,1335,1.504,47.2,22.7
0.377,1337,1.508,47.3,22.8
0.378,1338,1.512,47.3,22.9
0.379,1342,1.516,47.5,22.9
0.38,1343,1.52,47.5,23
0.381,1347,1.524,47.6,23
0.382,1350,1.528,47.7,23.1
0.383,1353,1.532,47.9,23.2
0.384,1355,1.536,47.9,23.2
0.385,1357,1.54,48,23.3
0.386,1358,1.544,48,23.4
0.387,1363,1.548,48.2,23.4
0.388,1367,1.552,48.3,23.5
0.389,1370,1.556,48.5,23.5
0.39,1372,1.56,48.5,23.6
0.391,1373,1.564,48.6,23.7
0.392,1375,1.568,48.6,23.7
0.393,1378,1.572,48.7,23.8
0.395,1383,1.58,48.9,23.9
0.396,1387,1.584,49,23.9
0.397,1388,1.588,49.1,24
0.397,1390,1.588,49.2,24
0.399,1392,1.596,49.2,24.1
0.4,1395,1.6,49.3,24.2
0.401,1400,1.604,49.5,24.2
0.402,1402,1.608,49.6,24.3
0.403,1403,1.612,49.6,24.4
0.404,1405,1.616,49.7,24.4
0.405,1408,1.62,49.8,24.5
0.406,1410,1.624,49.9,24.5
0.407,1415,1.628,50,24.6
0.408,1418,1.632,50.2,24.7
0.409,1420,1.636,50.2,24.7
0.41,1422,1.64,50.3,24.8
0.411,1423,1.644,50.3,24.9
0.412,1427,1.648,50.5,24.9
0.413,1430,1.652,50.6,25
0.414,1433,1.656,50.7,25
0.415,1435,1.66,50.8,25.1
0.416,1437,1.664,50.8,25.2
0.417,1438,1.668,50.9,25.2
0.418,1442,1.672,51,25.3
0.419,1445,1.676,51.1,25.4
0.421,1448,1.684,51.2,25.4
0.422,1450,1.688,51.3,25.5
0.422,1452,1.688,51.3,25.5
0.423,1453,1.692,51.4,25.6
0.425,1455,1.7,51.5,25.7
0.426,1460,1.704,51.6,25.7
0.427,1462,1.708,51.7,25.8
0.428,1465,1.712,51.8,25.9
0.429,1467,1.716,51.9,25.9
0.43,1468,1.72,51.9,26
0.431,1472,1.724,52,26
0.432,1475,1.728,52.2,26.1
0.433,1478,1.732,52.3,26.2
0.434,1480,1.736,52.3,26.2
0.435,1482,1.74,52.4,26.3
0.436,1483,1.744,52.5,26.4
0.437,1485,1.748,52.5,26.4
0.438,1488,1.752,52.6,26.5
0.439,1492,1.756,52.8,26.5
0.44,1495,1.76,52.9,26.6
0.441,1497,1.764,52.9,26.7
0.442,1497,1.768,52.9,26.7
0.443,1500,1.772,53.1,26.8
0.445,1502,1.78,53.1,26.9
0.446,1505,1.784,53.2,26.9
0.447,1508,1.788,53.3,27
0.448,1510,1.792,53.4,27
0.448,1512,1.792,53.5,27.1
0.45,1513,1.8,53.5,27.2
0.451,1517,1.804,53.6,27.2
0.452,1520,1.808,53.8,27.3
0.453,1523,1.812,53.9,27.4
0.454,1525,1.816,53.9,27.4
0.455,1527,1.82,54,27.5
0.456,1528,1.824,54.1,27.5
0.457,1530,1.828,54.1,27.6
0.458,1533,1.832,54.2,27.7
0.459,1537,1.836,54.3,27.7
0.46,1538,1.84,54.4,27.8
0.461,1540,1.844,54.5,27.9
0.462,1542,1.848,54.5,27.9
0.463,1543,1.852,54.6,28
0.464,1547,1.856,54.7,28
0.465,1550,1.86,54.8,28.1
0.466,1553,1.864,54.9,28.2
0.467,1555,1.868,55,28.2
0.468,1555,1.872,55,28.3
0.47,1557,1.88,55.1,28.4
0.471,1560,1.884,55.2,28.4
0.472,1562,1.888,55.2,28.5
0.473,1565,1.892,55.4,28.5
0.474,1567,1.896,55.4,28.6
0.475,1568,1.9,55.5,28.7
0.476,1570,1.904,55.5,28.7
0.477,1573,1.908,55.6,28.8
0.478,1575,1.912,55.7,28.9
0.479,1578,1.916,55.8,28.9
0.48,1580,1.92,55.9,29
0.481,1582,1.924,55.9,29
0.482,1583,1.928,56,29.1
0.483,1587,1.932,56.1,29.2
0.484,1590,1.936,56.2,29.2
0.485,1592,1.94,56.3,29.3
0.486,1592,1.944,56.3,29.4
0.487,1593,1.948,56.4,29.4
0.488,1595,1.952,56.4,29.5
0.489,1598,1.956,56.5,29.5
0.49,1602,1.96,56.6,29.6
0.491,1603,1.964,56.7,29.7
0.492,1605,1.968,56.8,29.7
0.493,1607,1.972,56.8,29.8
0.494,1608,1.976,56.9,29.9
0.495,1610,1.98,56.9,29.9
0.497,1613,1.988,57.1,30
0.498,1615,1.992,57.1,30
0.499,1617,1.996,57.2,30.1
0.5,1618,2,57.2,30.2
0.501,1620,2,57.3,30.2
0.502,1622,2.01,57.4,30.3
0.503,1625,2.01,57.5,30.4
0.504,1628,2.02,57.6,30.4
0.505,1630,2.02,57.6,30.5
0.506,1632,2.02,57.7,30.5
0.507,1632,2.03,57.7,30.6
0.508,1633,2.03,57.8,30.7
0.509,1637,2.04,57.9,30.7
0.51,1638,2.04,57.9,30.8
0.511,1642,2.04,58.1,30.9
0.512,1643,2.05,58.1,30.9
0.513,1643,2.05,58.1,31
0.514,1645,2.06,58.2,31
0.515,1648,2.06,58.3,31.1
0.516,1650,2.06,58.4,31.2
0.517,1652,2.07,58.4,31.2
0.518,1653,2.07,58.5,31.3
0.519,1655,2.08,58.5,31.4
0.52,1657,2.08,58.6,31.4
0.522,1658,2.09,58.7,31.5
0.523,1660,2.09,58.7,31.5
0.524,1663,2.1,58.8,31.6
0.525,1663,2.1,58.8,31.7
0.526,1665,2.1,58.9,31.7
0.527,1667,2.11,58.9,31.8
0.528,1670,2.11,59.1,31.9
0.529,1672,2.12,59.1,31.9
0.53,1673,2.12,59.2,32
0.531,1675,2.12,59.2,32
0.532,1675,2.13,59.2,32.1
0.533,1678,2.13,59.4,32.2
0.534,1680,2.14,59.4,32.2
0.535,1683,2.14,59.5,32.3
0.536,1685,2.14,59.6,32.4
0.537,1687,2.15,59.7,32.4
0.538,1687,2.15,59.7,32.5
0.539,1688,2.16,59.7,32.5
0.54,1690,2.16,59.8,32.6
0.541,1693,2.16,59.9,32.7
0.542,1695,2.17,59.9,32.7
0.543,1697,2.17,60,32.8
0.544,1697,2.18,60,32.9
0.545,1698,2.18,60.1,32.9
0.547,1700,2.19,60.1,33
0.548,1702,2.19,60.2,33
0.549,1703,2.2,60.2,33.1
0.55,1705,2.2,60.3,33.2
0.551,1707,2.2,60.4,33.2
0.552,1708,2.21,60.4,33.3
0.553,1710,2.21,60.5,33.4
0.554,1712,2.22,60.5,33.4
0.555,1715,2.22,60.7,33.5
0.556,1715,2.22,60.7,33.5
0.557,1717,2.23,60.7,33.6
0.558,1717,2.23,60.7,33.7
0.559,1720,2.24,60.8,33.7
0.56,1722,2.24,60.9,33.8
0.561,1725,2.24,61,33.9
0.562,1725,2.25,61,33.9
0.563,1727,2.25,61.1,34
0.564,1727,2.26,61.1,34
0.565,1728,2.26,61.1,34.1
0.566,1732,2.26,61.2,34.2
0.568,1735,2.27,61.4,34.2
0.568,1737,2.27,61.4,34.3
0.569,1738,2.28,61.5,34.4
0.57,1738,2.28,61.5,34.4
0.572,1740,2.29,61.5,34.5
0.573,1742,2.29,61.6,34.5
0.574,1745,2.3,61.7,34.6
0.575,1745,2.3,61.7,34.7
0.576,1747,2.3,61.8,34.7
0.577,1747,2.31,61.8,34.8
0.578,1748,2.31,61.8,34.9
0.579,1750,2.32,61.9,34.9
0.58,1752,2.32,62,35
0.581,1753,2.32,62,35
0.582,1755,2.33,62.1,35.1
0.583,1755,2.33,62.1,35.2
0.584,1757,2.34,62.1,35.2
0.585,1760,2.34,62.2,35.3
0.586,1762,2.34,62.3,35.4
0.587,1763,2.35,62.4,35.4
0.588,1763,2.35,62.4,35.5
0.589,1765,2.36,62.4,35.5
0.59,1767,2.36,62.5,35.6
0.591,1768,2.36,62.5,35.7
0.592,1770,2.37,62.6,35.7
0.593,1772,2.37,62.7,35.8
0.594,1773,2.38,62.7,35.9
0.595,1773,2.38,62.7,35.9
0.597,1773,2.39,62.7,36
0.598,1775,2.39,62.8,36
0.599,1778,2.4,62.9,36.1
0.6,1778,2.4,62.9,36.2
0.601,1780,2.4,63,36.2
0.602,1782,2.41,63,36.3
0.603,1782,2.41,63,36.4
0.604,1783,2.42,63.1,36.4
0.605,1787,2.42,63.2,36.5
0.606,1788,2.42,63.2,36.5
0.607,1788,2.43,63.2,36.6
0.608,1790,2.43,63.3,36.7
0.609,1792,2.44,63.4,36.7
0.61,1792,2.44,63.4,36.8
0.611,1795,2.44,63.5,36.9
0.612,1797,2.45,63.5,36.9
0.613,1798,2.45,63.6,37
0.614,1798,2.46,63.6,37
0.615,1798,2.46,63.6,37.1
0.616,1800,2.46,63.7,37.2
0.617,1802,2.47,63.7,37.2
0.618,1803,2.47,63.8,37.3
0.619,1805,2.48,63.8,37.4
0.62,1807,2.48,63.9,37.4
0.621,1807,2.48,63.9,37.5
0.623,1808,2.49,64,37.5
0.624,1812,2.5,64.1,37.6
0.625,1813,2.5,64.1,37.7
0.626,1813,2.5,64.1,37.7
0.627,1815,2.51,64.2,37.8
0.628,1815,2.51,64.2,37.9
0.629,1817,2.52,64.3,37.9
0.63,1818,2.52,64.3,38
0.631,1820,2.52,64.4,38
0.632,1822,2.53,64.4,38.1
0.633,1822,2.53,64.4,38.2
0.634,1823,2.54,64.5,38.2
0.635,1825,2.54,64.5,38.3
0.636,1827,2.54,64.6,38.4
0.637,1828,2.55,64.7,38.4
0.638,1828,2.55,64.7,38.5
0.639,1830,2.56,64.7,38.5
0.64,1830,2.56,64.7,38.6
0.641,1830,2.56,64.7,38.7
0.643,1833,2.57,64.8,38.7
0.644,1835,2.58,64.9,38.8
0.644,1837,2.58,65,38.9
0.645,1837,2.58,65,38.9
0.646,1838,2.58,65,39
0.647,1838,2.59,65,39
0.649,1840,2.6,65.1,39.1
0.65,1842,2.6,65.1,39.2
0.651,1843,2.6,65.2,39.2
0.652,1845,2.61,65.3,39.3
0.653,1845,2.61,65.3,39.4
0.654,1847,2.62,65.3,39.4
0.655,1848,2.62,65.4,39.5
0.656,1850,2.62,65.4,39.5
0.657,1852,2.63,65.5,39.6
0.658,1852,2.63,65.5,39.7
0.659,1852,2.64,65.5,39.7
0.66,1853,2.64,65.5,39.8
0.661,1853,2.64,65.5,39.9
0.662,1855,2.65,65.6,39.9
0.663,1857,2.65,65.7,40
0.664,1858,2.66,65.7,40
0.665,1858,2.66,65.7,40.1
0.666,1860,2.66,65.8,40.2
0.667,1862,2.67,65.8,40.2
0.668,1863,2.67,65.9,40.3
0.67,1865,2.68,66,40.4
0.67,1865,2.68,66,40.4
0.671,1867,2.68,66,40.5
0.673,1867,2.69,66,40.5
0.674,1868,2.7,66.1,40.6
0.675,1870,2.7,66.1,40.7
0.676,1872,2.7,66.2,40.7
0.677,1873,2.71,66.3,40.8
0.678,1873,2.71,66.3,40.9
0.679,1873,2.72,66.3,40.9
0.68,1875,2.72,66.3,41
0.681,1877,2.72,66.4,41
0.682,1877,2.73,66.4,41.1
0.683,1878,2.73,66.4,41.2
0.684,1878,2.74,66.4,41.2
0.685,1880,2.74,66.5,41.3
0.686,1882,2.74,66.6,41.4
0.687,1883,2.75,66.6,41.4
0.688,1883,2.75,66.6,41.5
0.689,1885,2.76,66.7,41.5
0.69,1885,2.76,66.7,41.6
0.691,1885,2.76,66.7,41.7
0.692,1887,2.77,66.7,41.7
0.693,1888,2.77,66.8,41.8
0.695,1890,2.78,66.8,41.9
0.696,1892,2.78,66.9,41.9
0.696,1892,2.78,66.9,42
0.697,1893,2.79,67,42
0.699,1893,2.8,67,42.1
0.7,1895,2.8,67,42.2
0.701,1897,2.8,67.1,42.2
0.702,1898,2.81,67.1,42.3
0.703,1898,2.81,67.1,42.4
0.704,1898,2.82,67.1,42.4
0.705,1900,2.82,67.2,42.5
0.706,1902,2.82,67.3,42.5
0.707,1903,2.83,67.3,42.6
0.708,1905,2.83,67.4,42.7
0.709,1905,2.84,67.4,42.7
0.71,1905,2.84,67.4,42.8
0.711,1907,2.84,67.4,42.9
0.712,1908,2.85,67.5,42.9
0.713,1910,2.85,67.6,43
0.714,1910,2.86,67.6,43
0.715,1910,2.86,67.6,43.1
0.716,1912,2.86,67.6,43.2
0.717,1912,2.87,67.6,43.2
0.718,1913,2.87,67.7,43.3
0.72,1917,2.88,67.8,43.4
0.72,1917,2.88,67.8,43.4
0.722,1917,2.89,67.8,43.5
0.722,1917,2.89,67.8,43.5
0.724,1918,2.9,67.8,43.6
0.725,1920,2.9,67.9,43.7
0.726,1922,2.9,68,43.7
0.727,1923,2.91,68,43.8
0.728,1923,2.91,68,43.9
0.729,1925,2.92,68.1,43.9
0.73,1925,2.92,68.1,44
0.731,1927,2.92,68.1,44
0.732,1928,2.93,68.2,44.1
0.733,1930,2.93,68.3,44.2
0.734,1930,2.94,68.3,44.2
0.735,1930,2.94,68.3,44.3
0.736,1932,2.94,68.3,44.4
0.737,1933,2.95,68.4,44.4
0.738,1933,2.95,68.4,44.5
0.739,1935,2.96,68.4,44.5
0.74,1935,2.96,68.4,44.6
0.741,1935,2.96,68.4,44.7
0.742,1937,2.97,68.5,44.7
0.744,1937,2.98,68.5,44.8
0.745,1940,2.98,68.6,44.9
0.746,1940,2.98,68.6,44.9
0.747,1940,2.99,68.6,45
0.747,1940,2.99,68.6,45
0.749,1942,3,68.7,45.1
0.75,1943,3,68.7,45.2
0.751,1945,3,68.8,45.2
0.752,1947,3.01,68.8,45.3
0.753,1948,3.01,68.9,45.4
0.754,1948,3.02,68.9,45.4
0.755,1948,3.02,68.9,45.5
0.756,1950,3.02,69,45.5
0.757,1952,3.03,69,45.6
0.758,1953,3.03,69.1,45.7
0.759,1953,3.04,69.1,45.7
0.76,1955,3.04,69.1,45.8
0.761,1955,3.04,69.1,45.9
0.762,1957,3.05,69.2,45.9
0.763,1958,3.05,69.3,46
0.764,1958,3.06,69.3,46
0.765,1960,3.06,69.3,46.1
0.766,1960,3.06,69.3,46.2
0.767,1960,3.07,69.3,46.2
0.768,1962,3.07,69.4,46.3
0.77,1963,3.08,69.4,46.4
0.771,1965,3.08,69.5,46.4
0.772,1965,3.09,69.5,46.5
0.772,1965,3.09,69.5,46.5
0.774,1965,3.1,69.5,46.6
0.775,1967,3.1,69.6,46.7
0.776,1968,3.1,69.6,46.7
0.777,1970,3.11,69.7,46.8
0.778,1970,3.11,69.7,46.9
0.779,1972,3.12,69.7,46.9
0.78,1972,3.12,69.7,47
0.781,1972,3.12,69.7,47
0.782,1973,3.13,69.8,47.1
0.783,1975,3.13,69.9,47.2
0.784,1977,3.14,69.9,47.2
0.785,1977,3.14,69.9,47.3
0.786,1977,3.14,69.9,47.4
0.787,1977,3.15,69.9,47.4
