Position (mm),Force (N),Strain (%),Stress (N/mm�),Time (sec)
0.0,-1.667,0.0,-0.0849,0.0
0.0,-1.667,0.0,-0.0849,0.0625
0.0,-1.667,0.0,-0.0849,0.1719
0.0,0.0,0.0,0.0,0.234
0.001,6.67,0.004,0.34,0.297
0.002,18.33,0.008,0.934,0.359
0.003,33.3,0.012,1.698,0.422
0.004,53.3,0.016,2.72,0.484
0.006,71.7,0.024,3.65,0.547
0.007,90,0.028,4.58,0.609
0.008,108.3,0.032,5.52,0.672
0.009,125,0.036,6.37,0.734
0.01,140,0.04,7.13,0.797
0.011,156.7,0.044,7.98,0.859
0.012,173.3,0.048,8.83,0.922
0.013,188.3,0.052,9.59,0.984
0.014,203,0.056,10.36,1.047
0.015,217,0.06,11.03,1.109
0.016,228,0.064,11.63,1.172
0.017,242,0.068,12.31,1.234
0.018,255,0.072,12.99,1.297
0.019,265,0.076,13.5,1.359
0.02,275,0.08,14.01,1.422
0.021,283,0.084,14.43,1.484
0.022,292,0.088,14.85,1.547
0.024,300,0.096,15.28,1.609
0.025,308,0.1,15.7,1.672
0.026,315,0.104,16.04,1.734
0.027,320,0.108,16.3,1.797
0.028,323,0.112,16.47,1.859
0.029,330,0.116,16.81,1.922
0.03,335,0.12,17.06,1.984
0.031,343,0.124,17.49,2.05
0.032,350,0.128,17.83,2.11
0.033,355,0.132,18.08,2.17
0.034,360,0.136,18.33,2.23
0.035,365,0.14,18.59,2.3
0.036,372,0.144,18.93,2.36
0.037,378,0.148,19.27,2.42
0.038,385,0.152,19.61,2.48
0.039,392,0.156,19.95,2.55
0.04,395,0.16,20.1,2.61
0.041,400,0.164,20.4,2.67
0.042,405,0.168,20.6,2.73
0.044,412,0.176,21,2.8
0.045,418,0.18,21.3,2.86
0.046,423,0.184,21.6,2.92
0.046,427,0.184,21.7,2.98
0.047,430,0.188,21.9,3.05
0.049,435,0.196,22.2,3.11
0.05,442,0.2,22.5,3.17
0.051,447,0.204,22.7,3.23
0.052,452,0.208,23,3.3
0.053,457,0.212,23.3,3.36
0.054,460,0.216,23.4,3.42
0.055,465,0.22,23.7,3.48
0.056,470,0.224,23.9,3.55
0.057,477,0.228,24.3,3.61
0.058,482,0.232,24.5,3.67
0.059,487,0.236,24.8,3.73
0.06,490,0.24,25,3.8
0.061,495,0.244,25.2,3.86
0.062,500,0.248,25.5,3.92
0.063,507,0.252,25.8,3.98
0.064,512,0.256,26.1,4.05
0.065,515,0.26,26.2,4.11
0.066,517,0.264,26.3,4.17
0.067,522,0.268,26.6,4.23
0.068,527,0.272,26.8,4.3
0.07,533,0.28,27.2,4.36
0.071,538,0.284,27.4,4.42
0.071,543,0.284,27.7,4.48
0.072,547,0.288,27.8,4.55
0.074,552,0.296,28.1,4.61
0.075,557,0.3,28.4,4.67
0.076,562,0.304,28.6,4.73
0.077,567,0.308,28.9,4.8
0.078,572,0.312,29.1,4.86
0.079,575,0.316,29.3,4.92
0.08,580,0.32,29.5,4.98
0.081,585,0.324,29.8,5.05
0.082,590,0.328,30,5.11
0.083,595,0.332,30.3,5.17
0.084,600,0.336,30.6,5.23
0.085,603,0.34,30.7,5.3
0.086,607,0.344,30.9,5.36
0.087,612,0.348,31.2,5.42
0.088,617,0.352,31.4,5.48
0.089,622,0.356,31.7,5.55
0.09,627,0.36,31.9,5.61
0.091,630,0.364,32.1,5.67
0.092,633,0.368,32.3,5.73
0.093,638,0.372,32.5,5.8
0.094,645,0.376,32.8,5.86
0.096,650,0.384,33.1,5.92
0.096,655,0.384,33.4,5.98
0.097,658,0.388,33.5,6.05
0.098,662,0.392,33.7,6.11
0.1,667,0.4,34,6.17
0.101,672,0.404,34.2,6.23
0.102,677,0.408,34.5,6.3
0.103,682,0.412,34.7,6.36
0.104,687,0.416,35,6.42
0.105,690,0.42,35.1,6.48
0.106,695,0.424,35.4,6.55
0.107,700,0.428,35.7,6.61
0.108,705,0.432,35.9,6.67
0.109,712,0.436,36.2,6.73
0.11,715,0.44,36.4,6.8
0.111,718,0.444,36.6,6.86
0.112,722,0.448,36.8,6.92
0.113,727,0.452,37,6.98
0.114,733,0.456,37.3,7.05
0.115,738,0.46,37.6,7.11
0.116,742,0.464,37.8,7.17
0.117,745,0.468,37.9,7.23
0.118,750,0.472,38.2,7.3
0.12,755,0.48,38.5,7.36
0.121,762,0.484,38.8,7.42
0.122,767,0.488,39,7.48
0.123,772,0.492,39.3,7.55
0.123,775,0.492,39.5,7.61
0.125,778,0.5,39.6,7.67
0.126,783,0.504,39.9,7.73
0.127,790,0.508,40.2,7.8
0.128,795,0.512,40.5,7.86
0.129,798,0.516,40.7,7.92
0.13,802,0.52,40.8,7.98
0.131,807,0.524,41.1,8.05
0.132,812,0.528,41.3,8.11
0.133,817,0.532,41.6,8.17
0.134,823,0.536,41.9,8.23
0.135,827,0.54,42.1,8.3
0.136,832,0.544,42.4,8.36
0.137,835,0.548,42.5,8.42
0.138,840,0.552,42.8,8.48
0.139,845,0.556,43,8.55
0.14,850,0.56,43.3,8.61
0.141,855,0.564,43.5,8.67
0.142,860,0.568,43.8,8.73
0.143,863,0.572,44,8.8
0.144,867,0.576,44.1,8.86
0.146,873,0.584,44.5,8.92
0.147,878,0.588,44.7,8.98
0.148,883,0.592,45,9.05
0.149,887,0.596,45.2,9.11
0.15,890,0.6,45.3,9.17
0.151,895,0.604,45.6,9.23
0.152,902,0.608,45.9,9.3
0.153,908,0.612,46.3,9.36
0.154,913,0.616,46.5,9.42
0.155,917,0.62,46.7,9.48
0.156,920,0.624,46.9,9.55
0.157,925,0.628,47.1,9.61
0.158,930,0.632,47.4,9.67
0.159,937,0.636,47.7,9.73
0.16,940,0.64,47.9,9.8
0.161,945,0.644,48.1,9.86
0.162,948,0.648,48.3,9.92
0.163,953,0.652,48.6,9.98
0.164,958,0.656,48.8,10.05
0.165,963,0.66,49.1,10.11
0.166,968,0.664,49.3,10.17
0.167,973,0.668,49.6,10.23
0.168,977,0.672,49.7,10.3
0.169,982,0.676,50,10.36
0.17,987,0.68,50.3,10.42
0.172,993,0.688,50.6,10.48
0.172,998,0.688,50.8,10.55
0.173,1003,0.692,51.1,10.61
0.174,1007,0.696,51.3,10.67
0.176,1012,0.704,51.5,10.73
0.177,1017,0.708,51.8,10.8
0.178,1022,0.712,52,10.86
0.179,1027,0.716,52.3,10.92
0.18,1032,0.72,52.5,10.98
0.181,1035,0.724,52.7,11.05
0.182,1040,0.728,53,11.11
0.183,1045,0.732,53.2,11.17
0.184,1050,0.736,53.5,11.23
0.185,1055,0.74,53.7,11.3
0.186,1060,0.744,54,11.36
0.187,1063,0.748,54.2,11.42
0.188,1068,0.752,54.4,11.48
0.189,1073,0.756,54.7,11.55
0.19,1078,0.76,54.9,11.61
0.191,1085,0.764,55.3,11.67
0.192,1090,0.768,55.5,11.73
0.193,1093,0.772,55.7,11.8
0.194,1097,0.776,55.9,11.86
0.195,1102,0.78,56.1,11.92
0.197,1107,0.788,56.4,11.98
0.198,1113,0.792,56.7,12.05
0.199,1118,0.796,57,12.11
0.2,1122,0.8,57.1,12.17
0.201,1127,0.804,57.4,12.23
0.202,1132,0.808,57.6,12.3
0.203,1138,0.812,58,12.36
0.204,1143,0.816,58.2,12.42
0.205,1148,0.82,58.5,12.48
0.206,1152,0.824,58.7,12.55
0.207,1155,0.828,58.8,12.61
0.208,1158,0.832,59,12.67
0.209,1165,0.836,59.3,12.73
0.21,1170,0.84,59.6,12.8
0.211,1177,0.844,59.9,12.86
0.212,1180,0.848,60.1,12.92
0.213,1183,0.852,60.3,12.98
0.214,1188,0.856,60.5,13.05
0.215,1193,0.86,60.8,13.11
0.216,1200,0.864,61.1,13.17
0.217,1205,0.868,61.4,13.23
0.218,1208,0.872,61.5,13.3
0.219,1212,0.876,61.7,13.36
0.22,1215,0.88,61.9,13.42
0.222,1222,0.888,62.2,13.48
0.223,1227,0.892,62.5,13.55
0.224,1233,0.896,62.8,13.61
0.225,1237,0.9,63,13.67
0.226,1240,0.904,63.2,13.73
0.227,1245,0.908,63.4,13.8
0.228,1250,0.912,63.7,13.86
0.229,1257,0.916,64,13.92
0.23,1262,0.92,64.3,13.98
0.231,1265,0.924,64.4,14.05
0.232,1268,0.928,64.6,14.11
0.233,1273,0.932,64.9,14.17
0.234,1278,0.936,65.1,14.23
0.235,1283,0.94,65.4,14.3
0.236,1288,0.944,65.6,14.36
0.237,1293,0.948,65.9,14.42
0.238,1297,0.952,66,14.48
0.239,1302,0.956,66.3,14.55
0.24,1307,0.96,66.5,14.61
0.241,1312,0.964,66.8,14.67
0.242,1318,0.968,67.1,14.73
0.243,1322,0.972,67.3,14.8
0.244,1325,0.976,67.5,14.86
0.245,1330,0.98,67.7,14.92
0.247,1337,0.988,68.1,14.98
0.248,1342,0.992,68.3,15.05
0.249,1348,0.996,68.7,15.11
0.25,1352,1,68.8,15.17
0.251,1355,1.004,69,15.23
0.252,1358,1.008,69.2,15.3
0.253,1363,1.012,69.4,15.36
0.254,1370,1.016,69.8,15.42
0.255,1375,1.02,70,15.48
0.256,1380,1.024,70.3,15.55
0.257,1383,1.028,70.5,15.61
0.258,1387,1.032,70.6,15.67
0.259,1392,1.036,70.9,15.73
0.26,1397,1.04,71.1,15.8
0.261,1403,1.044,71.5,15.86
0.262,1408,1.048,71.7,15.92
0.263,1412,1.052,71.9,15.98
0.264,1415,1.056,72.1,16.05
0.265,1420,1.06,72.3,16.11
0.266,1427,1.064,72.7,16.17
0.267,1432,1.068,72.9,16.23
0.268,1437,1.072,73.2,16.3
0.269,1442,1.076,73.4,16.36
0.27,1445,1.08,73.6,16.42
0.271,1448,1.084,73.8,16.48
0.273,1455,1.092,74.1,16.55
0.274,1460,1.096,74.4,16.61
0.275,1465,1.1,74.6,16.67
0.276,1468,1.104,74.8,16.73
0.277,1472,1.108,75,16.8
0.278,1477,1.112,75.2,16.86
0.279,1482,1.116,75.5,16.92
0.28,1488,1.12,75.8,16.98
0.281,1493,1.124,76.1,17.05
0.282,1497,1.128,76.2,17.11
0.283,1500,1.132,76.4,17.17
0.284,1505,1.136,76.6,17.23
0.285,1510,1.14,76.9,17.3
0.286,1517,1.144,77.2,17.36
0.287,1522,1.148,77.5,17.42
0.288,1525,1.152,77.7,17.48
0.289,1528,1.156,77.8,17.55
0.29,1533,1.16,78.1,17.61
0.291,1538,1.164,78.3,17.67
0.292,1545,1.168,78.7,17.73
0.293,1550,1.172,78.9,17.8
0.294,1555,1.176,79.2,17.86
0.295,1557,1.18,79.3,17.92
0.296,1562,1.184,79.5,17.98
0.298,1567,1.192,79.8,18.05
0.299,1573,1.196,80.1,18.11
0.3,1578,1.2,80.4,18.17
0.301,1582,1.204,80.6,18.23
0.302,1585,1.208,80.7,18.3
0.303,1588,1.212,80.9,18.36
0.304,1595,1.216,81.2,18.42
0.305,1600,1.22,81.5,18.48
0.306,1605,1.224,81.7,18.55
0.307,1610,1.228,82,18.61
0.308,1615,1.232,82.3,18.67
0.309,1618,1.236,82.4,18.73
0.31,1623,1.24,82.7,18.8
0.311,1628,1.244,82.9,18.86
0.312,1635,1.248,83.3,18.92
0.313,1638,1.252,83.4,18.98
0.314,1643,1.256,83.7,19.05
0.315,1647,1.26,83.9,19.11
0.316,1650,1.264,84,19.17
0.317,1657,1.268,84.4,19.23
0.318,1662,1.272,84.6,19.3
0.319,1667,1.276,84.9,19.36
0.32,1670,1.28,85.1,19.42
0.321,1673,1.284,85.2,19.48
0.323,1678,1.292,85.5,19.55
0.324,1685,1.296,85.8,19.61
0.325,1690,1.3,86.1,19.67
0.326,1695,1.304,86.3,19.73
0.327,1698,1.308,86.5,19.8
0.328,1702,1.312,86.7,19.86
0.329,1705,1.316,86.8,19.92
0.33,1712,1.32,87.2,19.98
0.331,1717,1.324,87.4,20
0.332,1722,1.328,87.7,20.1
0.333,1727,1.332,87.9,20.2
0.334,1730,1.336,88.1,20.2
0.335,1735,1.34,88.4,20.3
0.336,1742,1.344,88.7,20.4
0.337,1747,1.348,89,20.4
0.338,1752,1.352,89.2,20.5
0.339,1755,1.356,89.4,20.5
0.34,1760,1.36,89.6,20.6
0.341,1765,1.364,89.9,20.7
0.342,1770,1.368,90.1,20.7
0.344,1777,1.376,90.5,20.8
0.344,1782,1.376,90.7,20.9
0.345,1785,1.38,90.9,20.9
0.346,1788,1.384,91.1,21
0.347,1792,1.388,91.2,21
0.349,1797,1.396,91.5,21.1
0.35,1803,1.4,91.8,21.2
0.351,1808,1.404,92.1,21.2
0.352,1813,1.408,92.4,21.3
0.353,1817,1.412,92.5,21.4
0.354,1822,1.416,92.8,21.4
0.355,1827,1.42,93,21.5
0.356,1832,1.424,93.3,21.5
0.357,1838,1.428,93.6,21.6
0.358,1843,1.432,93.9,21.7
0.359,1847,1.436,94,21.7
0.36,1850,1.44,94.2,21.8
0.361,1855,1.444,94.5,21.9
0.362,1862,1.448,94.8,21.9
0.363,1868,1.452,95.2,22
0.364,1872,1.456,95.3,22
0.365,1875,1.46,95.5,22.1
0.366,1880,1.464,95.7,22.2
0.367,1885,1.468,96,22.2
0.368,1890,1.472,96.3,22.3
0.369,1897,1.476,96.6,22.4
0.37,1902,1.48,96.9,22.4
0.371,1905,1.484,97,22.5
0.372,1908,1.488,97.2,22.5
0.374,1913,1.496,97.4,22.6
0.375,1918,1.5,97.7,22.7
0.376,1925,1.504,98,22.7
0.377,1930,1.508,98.3,22.8
0.378,1933,1.512,98.5,22.9
0.379,1937,1.516,98.6,22.9
0.38,1942,1.52,98.9,23
0.381,1947,1.524,99.1,23
0.382,1953,1.528,99.5,23.1
0.383,1958,1.532,99.7,23.2
0.384,1962,1.536,99.9,23.2
0.385,1965,1.54,100.1,23.3
0.386,1970,1.544,100.3,23.4
0.387,1977,1.548,100.7,23.4
0.388,1983,1.552,101,23.5
0.389,1987,1.556,101.2,23.5
0.39,1992,1.56,101.4,23.6
0.391,1995,1.564,101.6,23.7
0.392,1998,1.568,101.8,23.7
0.393,2000,1.572,102.1,23.8
0.395,2010,1.58,102.4,23.9
0.395,2020,1.58,102.6,23.9
0.396,2020,1.584,102.9,24
0.397,2020,1.588,103,24
0.399,2030,1.596,103.3,24.1
0.4,2040,1.6,103.6,24.2
0.401,2040,1.604,103.9,24.2
0.402,2040,1.608,104.2,24.3
0.403,2050,1.612,104.4,24.4
0.404,2050,1.616,104.6,24.4
0.405,2060,1.62,104.8,24.5
0.406,2060,1.624,105.1,24.5
0.407,2070,1.628,105.4,24.6
0.408,2080,1.632,105.7,24.7
0.409,2080,1.636,105.8,24.7
0.41,2080,1.64,106.1,24.8
0.411,2090,1.644,106.3,24.9
0.412,2090,1.648,106.6,24.9
0.413,2100,1.652,106.9,25
0.414,2100,1.656,107.1,25
0.415,2110,1.66,107.4,25.1
0.416,2110,1.664,107.5,25.2
0.417,2120,1.668,107.7,25.2
0.418,2120,1.672,108,25.3
0.419,2130,1.676,108.3,25.4
0.42,2130,1.68,108.6,25.4
0.421,2140,1.684,108.9,25.5
0.422,2140,1.688,109.1,25.5
0.423,2140,1.692,109.2,25.6
0.425,2150,1.7,109.4,25.7
0.426,2160,1.704,109.8,25.7
0.427,2160,1.708,110,25.8
0.428,2160,1.712,110.3,25.9
0.429,2170,1.716,110.4,25.9
0.43,2170,1.72,110.7,26
0.431,2180,1.724,110.9,26
0.432,2180,1.728,111.3,26.1
0.433,2190,1.732,111.6,26.2
0.434,2200,1.736,111.9,26.2
0.435,2200,1.74,112.1,26.3
0.436,2200,1.744,112.3,26.4
0.437,2210,1.748,112.6,26.4
0.438,2220,1.752,112.8,26.5
0.439,2220,1.756,113.1,26.5
0.44,2230,1.76,113.4,26.6
0.441,2230,1.764,113.6,26.7
0.442,2230,1.768,113.7,26.7
0.443,2240,1.772,114,26.8
0.444,2240,1.776,114.3,26.9
0.446,2250,1.784,114.6,26.9
0.447,2260,1.788,114.8,27
0.448,2260,1.792,115.1,27
0.449,2260,1.796,115.4,27.1
0.45,2270,1.8,115.6,27.2
0.451,2280,1.804,115.9,27.2
0.452,2280,1.808,116.2,27.3
0.453,2280,1.812,116.4,27.4
0.454,2290,1.816,116.6,27.4
0.455,2290,1.82,116.8,27.5
0.456,2300,1.824,117.1,27.5
0.457,2300,1.828,117.3,27.6
0.458,2310,1.832,117.6,27.7
0.459,2320,1.836,117.9,27.7
0.46,2320,1.84,118.2,27.8
0.461,2320,1.844,118.3,27.9
0.462,2330,1.848,118.6,27.9
0.463,2330,1.852,118.8,28
0.464,2340,1.856,119.1,28
0.465,2340,1.86,119.4,28.1
0.466,2350,1.864,119.6,28.2
0.467,2350,1.868,119.9,28.2
0.468,2360,1.872,120,28.3
0.47,2360,1.88,120.4,28.4
0.471,2370,1.884,120.6,28.4
0.472,2380,1.888,121,28.5
0.473,2380,1.892,121.1,28.5
0.473,2380,1.892,121.3,28.6
0.475,2390,1.9,121.6,28.7
0.476,2390,1.904,121.8,28.7
0.477,2400,1.908,122.1,28.8
0.478,2400,1.912,122.5,28.9
0.479,2410,1.916,122.7,28.9
0.48,2410,1.92,122.8,29
0.481,2420,1.924,123.1,29
0.482,2420,1.928,123.3,29.1
0.483,2430,1.932,123.7,29.2
0.484,2440,1.936,124,29.2
0.485,2440,1.94,124.2,29.3
0.486,2440,1.944,124.4,29.4
0.487,2450,1.948,124.6,29.4
0.488,2450,1.952,124.8,29.5
0.489,2460,1.956,125.1,29.5
0.49,2460,1.96,125.5,29.6
0.491,2470,1.964,125.7,29.7
0.492,2470,1.968,126,29.7
0.493,2480,1.972,126.1,29.8
0.494,2480,1.976,126.4,29.9
0.495,2490,1.98,126.6,29.9
0.497,2490,1.988,127,30
0.497,2500,1.988,127.2,30
0.498,2500,1.992,127.5,30.1
0.499,2510,1.996,127.7,30.2
0.501,2510,2,127.9,30.2
0.502,2520,2.01,128.2,30.3
0.503,2520,2.01,128.5,30.4
0.504,2530,2.02,128.8,30.4
0.505,2530,2.02,129,30.5
0.506,2540,2.02,129.2,30.5
0.507,2540,2.03,129.4,30.6
0.508,2550,2.03,129.7,30.7
0.509,2550,2.04,130,30.7
0.51,2560,2.04,130.3,30.8
0.511,2560,2.04,130.5,30.9
0.512,2570,2.05,130.7,30.9
0.513,2570,2.05,130.9,31
0.514,2580,2.06,131.2,31
0.515,2580,2.06,131.6,31.1
0.516,2590,2.06,131.8,31.2
0.517,2590,2.07,132.1,31.2
0.518,2600,2.07,132.2,31.3
0.519,2600,2.08,132.5,31.4
0.521,2610,2.08,132.8,31.4
0.522,2610,2.09,133.1,31.5
0.523,2620,2.09,133.4,31.5
0.524,2620,2.1,133.7,31.6
0.524,2630,2.1,133.9,31.7
0.526,2630,2.1,134,31.7
0.527,2640,2.11,134.4,31.8
0.528,2640,2.11,134.6,31.9
0.529,2650,2.12,135,31.9
0.53,2660,2.12,135.2,32
0.531,2660,2.12,135.4,32
0.532,2660,2.13,135.6,32.1
0.533,2670,2.13,135.8,32.2
0.534,2670,2.14,136.2,32.2
0.535,2680,2.14,136.5,32.3
0.536,2680,2.14,136.7,32.4
0.537,2690,2.15,136.9,32.4
0.538,2690,2.15,137.1,32.5
0.539,2700,2.16,137.4,32.5
0.54,2700,2.16,137.8,32.6
0.541,2710,2.16,138.1,32.7
0.542,2720,2.17,138.3,32.7
0.543,2720,2.17,138.5,32.8
0.544,2720,2.18,138.8,32.9
0.545,2730,2.18,139,32.9
0.547,2740,2.19,139.4,33
0.548,2740,2.19,139.6,33
0.549,2750,2.2,139.9,33.1
0.55,2750,2.2,140.1,33.2
0.551,2760,2.2,140.3,33.2
0.552,2760,2.21,140.5,33.3
0.553,2760,2.21,140.8,33.4
0.554,2770,2.22,141.2,33.4
0.555,2780,2.22,141.4,33.5
0.556,2780,2.22,141.6,33.5
0.557,2780,2.23,141.8,33.6
0.558,2790,2.23,142,33.7
0.559,2800,2.24,142.3,33.7
0.56,2800,2.24,142.7,33.8
0.561,2810,2.24,142.9,33.9
0.562,2810,2.25,143.1,33.9
0.563,2810,2.25,143.3,34
0.564,2820,2.26,143.5,34
0.565,2820,2.26,143.9,34.1
0.566,2830,2.26,144.2,34.2
0.567,2840,2.27,144.6,34.2
0.568,2840,2.27,144.7,34.3
0.569,2840,2.28,144.9,34.4
0.57,2850,2.28,145.1,34.4
0.572,2860,2.29,145.5,34.5
0.573,2860,2.29,145.8,34.5
0.574,2870,2.3,146.1,34.6
0.575,2870,2.3,146.3,34.7
0.576,2880,2.3,146.5,34.7
0.577,2880,2.31,146.8,34.8
0.578,2890,2.31,147,34.9
0.579,2900,2.32,147.4,34.9
0.58,2900,2.32,147.7,35
0.581,2900,2.32,148,35
0.582,2910,2.33,148.1,35.1
0.583,2910,2.33,148.4,35.2
0.584,2920,2.34,148.6,35.2
0.585,2920,2.34,149,35.3
0.586,2930,2.34,149.2,35.4
0.587,2940,2.35,149.5,35.4
0.588,2940,2.35,149.6,35.5
0.589,2940,2.36,149.9,35.5
0.59,2950,2.36,150.2,35.6
0.591,2960,2.36,150.5,35.7
0.592,2960,2.37,150.8,35.7
0.593,2960,2.37,151,35.8
0.594,2970,2.38,151.2,35.9
0.595,2970,2.38,151.4,35.9
0.597,2980,2.39,151.7,36
0.598,2980,2.39,152,36
0.599,2990,2.4,152.4,36.1
0.6,3000,2.4,152.6,36.2
0.601,3000,2.4,152.8,36.2
0.602,3000,2.41,153,36.3
0.603,3010,2.41,153.2,36.4
0.604,3020,2.42,153.6,36.4
0.605,3020,2.42,153.9,36.5
0.606,3030,2.42,154.1,36.5
0.607,3030,2.43,154.3,36.6
0.608,3040,2.43,154.6,36.7
0.609,3040,2.44,154.8,36.7
0.61,3050,2.44,155.2,36.8
0.611,3050,2.44,155.5,36.9
0.612,3060,2.45,155.8,36.9
0.613,3060,2.45,156,37
0.614,3070,2.46,156.2,37
0.615,3070,2.46,156.4,37.1
0.616,3080,2.46,156.8,37.2
0.617,3080,2.47,157.1,37.2
0.618,3090,2.47,157.4,37.3
0.619,3090,2.48,157.5,37.4
0.62,3100,2.48,157.8,37.4
0.621,3100,2.48,158.1,37.5
0.623,3110,2.49,158.4,37.5
0.624,3120,2.5,158.6,37.6
0.625,3120,2.5,159,37.7
0.626,3130,2.5,159.2,37.7
0.627,3130,2.51,159.4,37.8
0.628,3130,2.51,159.6,37.9
0.629,3140,2.52,159.9,37.9
0.63,3150,2.52,160.3,38
0.631,3150,2.52,160.6,38
0.632,3160,2.53,160.8,38.1
0.633,3160,2.53,161,38.2
0.634,3160,2.54,161.2,38.2
0.635,3170,2.54,161.4,38.3
0.636,3180,2.54,161.8,38.4
0.637,3180,2.55,162.1,38.4
0.638,3190,2.55,162.4,38.5
0.639,3190,2.56,162.6,38.5
0.64,3200,2.56,162.8,38.6
0.641,3200,2.56,163.1,38.7
0.642,3210,2.57,163.4,38.7
0.643,3220,2.57,163.7,38.8
0.644,3220,2.58,163.9,38.9
0.645,3220,2.58,164.2,38.9
0.646,3230,2.58,164.4,39
0.648,3230,2.59,164.7,39
0.649,3240,2.6,165,39.1
0.65,3240,2.6,165.3,39.2
0.651,3250,2.6,165.6,39.2
0.652,3260,2.61,165.8,39.3
0.653,3260,2.61,165.9,39.4
0.654,3260,2.62,166.3,39.4
0.655,3270,2.62,166.5,39.5
0.656,3280,2.62,166.9,39.5
0.657,3280,2.63,167.1,39.6
0.658,3280,2.63,167.3,39.7
0.659,3290,2.64,167.6,39.7
0.66,3290,2.64,167.7,39.8
0.661,3300,2.64,168.1,39.9
0.662,3310,2.65,168.4,39.9
0.663,3310,2.65,168.7,40
0.664,3320,2.66,168.9,40
0.665,3320,2.66,169.1,40.1
0.666,3320,2.66,169.3,40.2
0.667,3330,2.67,169.7,40.2
0.668,3340,2.67,170,40.3
0.669,3340,2.68,170.3,40.4
0.67,3350,2.68,170.5,40.4
0.671,3350,2.68,170.7,40.5
0.673,3360,2.69,171,40.5
0.674,3360,2.7,171.3,40.6
0.675,3370,2.7,171.6,40.7
0.676,3380,2.7,171.9,40.7
0.677,3380,2.71,172.1,40.8
0.678,3380,2.71,172.3,40.9
0.679,3390,2.72,172.6,40.9
0.68,3400,2.72,172.9,41
0.681,3400,2.72,173.2,41
0.682,3410,2.73,173.5,41.1
0.683,3410,2.73,173.7,41.2
0.684,3420,2.74,173.9,41.2
0.685,3420,2.74,174.2,41.3
0.686,3420,2.74,174.4,41.4
0.687,3430,2.75,174.8,41.4
0.688,3440,2.75,175.1,41.5
0.689,3440,2.76,175.3,41.5
0.69,3440,2.76,175.5,41.6
0.691,3450,2.76,175.7,41.7
0.692,3460,2.77,176,41.7
0.693,3460,2.77,176.4,41.8
0.694,3470,2.78,176.7,41.9
0.695,3480,2.78,177,41.9
0.696,3480,2.78,177.2,42
0.697,3480,2.79,177.4,42
0.699,3490,2.8,177.7,42.1
0.7,3500,2.8,178.1,42.2
0.701,3500,2.8,178.3,42.2
0.702,3510,2.81,178.6,42.3
0.703,3510,2.81,178.8,42.4
0.704,3520,2.82,179,42.4
0.705,3520,2.82,179.4,42.5
0.706,3530,2.82,179.7,42.5
0.707,3530,2.83,180,42.6
0.708,3540,2.83,180.2,42.7
0.709,3540,2.84,180.5,42.7
0.71,3550,2.84,180.7,42.8
0.711,3550,2.84,181,42.9
0.712,3560,2.85,181.3,42.9
0.713,3560,2.85,181.6,43
0.714,3570,2.86,181.8,43
0.715,3580,2.86,182.1,43.1
0.716,3580,2.86,182.3,43.2
0.717,3580,2.87,182.6,43.2
0.719,3590,2.88,182.9,43.3
0.719,3600,2.88,183.2,43.4
0.72,3600,2.88,183.4,43.4
0.721,3610,2.88,183.7,43.5
0.722,3610,2.89,183.9,43.5
0.724,3620,2.9,184.2,43.6
0.725,3620,2.9,184.5,43.7
0.726,3630,2.9,184.8,43.7
0.727,3630,2.91,185,43.8
0.728,3640,2.91,185.2,43.9
0.729,3640,2.92,185.5,43.9
0.73,3650,2.92,185.7,44
0.731,3650,2.92,186.1,44
0.732,3660,2.93,186.4,44.1
0.733,3660,2.93,186.7,44.2
0.734,3670,2.94,186.9,44.2
0.735,3680,2.94,187.2,44.3
0.736,3680,2.94,187.4,44.4
0.737,3690,2.95,187.8,44.4
0.738,3690,2.95,188,44.5
0.739,3700,2.96,188.4,44.5
0.74,3700,2.96,188.5,44.6
0.741,3710,2.96,188.8,44.7
0.742,3710,2.97,189,44.7
0.743,3720,2.97,189.4,44.8
0.745,3720,2.98,189.7,44.9
0.745,3730,2.98,190,44.9
0.746,3740,2.98,190.2,45
0.747,3740,2.99,190.4,45
0.749,3740,3,190.6,45.1
0.75,3750,3,191,45.2
0.751,3760,3,191.3,45.2
0.752,3760,3.01,191.6,45.3
0.753,3770,3.01,191.8,45.4
0.754,3770,3.02,192,45.4
0.755,3780,3.02,192.3,45.5
0.756,3780,3.02,192.6,45.5
0.757,3790,3.03,192.9,45.6
0.758,3800,3.03,193.3,45.7
0.759,3800,3.04,193.5,45.7
0.76,3800,3.04,193.6,45.8
0.761,3810,3.04,193.9,45.9
0.762,3810,3.05,194.2,45.9
0.763,3820,3.05,194.6,46
0.764,3830,3.06,194.9,46
0.765,3830,3.06,195.1,46.1
0.766,3840,3.06,195.3,46.2
0.767,3840,3.07,195.6,46.2
0.768,3850,3.07,195.9,46.3
0.77,3850,3.08,196.2,46.4
0.77,3860,3.08,196.5,46.4
0.771,3860,3.08,196.8,46.5
0.772,3870,3.09,197,46.5
0.774,3870,3.1,197.2,46.6
0.775,3880,3.1,197.5,46.7
0.776,3880,3.1,197.9,46.7
0.777,3890,3.11,198.3,46.8
0.778,3900,3.11,198.5,46.9
0.779,3900,3.12,198.7,46.9
0.78,3910,3.12,199,47
0.781,3910,3.12,199.2,47
0.782,3920,3.13,199.6,47.1
0.783,3920,3.13,199.9,47.2
0.784,3930,3.14,200,47.2
