"Position (mm)","Force (N)","Strain (%)","Stress (N/mm�)","Time (sec)"
1.435,-757,5.74,-42,86.3
1.436,-757,5.74,-42,86.4
1.437,-757,5.75,-42,86.4
1.438,-757,5.75,-42,86.5
1.439,-757,5.76,-42,86.5
1.44,-757,5.76,-42,86.6
1.441,-757,5.76,-42,86.7
1.442,-757,5.77,-42,86.7
1.443,-757,5.77,-42,86.8
1.444,-757,5.78,-42,86.9
1.445,-757,5.78,-42,86.9
1.447,-757,5.79,-42,87
1.448,-757,5.79,-42,87
1.448,-757,5.79,-42,87.1
1.449,-757,5.8,-42,87.2
1.451,-757,5.8,-42,87.2
1.452,-757,5.81,-42,87.3
1.453,-757,5.81,-42,87.4
1.454,-757,5.82,-42,87.4
1.455,-755,5.82,-41.9,87.5
1.456,-755,5.82,-41.9,87.5
1.457,-755,5.83,-41.9,87.6
1.458,-755,5.83,-41.9,87.7
1.459,-757,5.84,-42,87.7
1.46,-757,5.84,-42,87.8
1.461,-757,5.84,-42,87.9
1.462,-757,5.85,-42,87.9
1.463,-755,5.85,-41.9,88
1.464,-757,5.86,-42,88
1.465,-757,5.86,-42,88.1
1.466,-757,5.86,-42,88.2
1.467,-757,5.87,-42,88.2
1.468,-755,5.87,-41.9,88.3
1.469,-757,5.88,-42,88.4
1.47,-757,5.88,-42,88.4
1.472,-757,5.89,-42,88.5
1.473,-757,5.89,-42,88.5
1.474,-757,5.9,-42,88.6
1.474,-757,5.9,-42,88.7
1.476,-757,5.9,-42,88.7
1.477,-755,5.91,-41.9,88.8
1.478,-757,5.91,-42,88.9
1.479,-757,5.92,-42,88.9
1.48,-755,5.92,-41.9,89
1.481,-755,5.92,-41.9,89
1.482,-755,5.93,-41.9,89.1
1.483,-755,5.93,-41.9,89.2
1.484,-755,5.94,-41.9,89.2
1.485,-755,5.94,-41.9,89.3
1.486,-755,5.94,-41.9,89.4
1.487,-755,5.95,-41.9,89.4
1.488,-755,5.95,-41.9,89.5
1.489,-755,5.96,-41.9,89.5
1.49,-757,5.96,-42,89.6
1.491,-757,5.96,-42,89.7
1.492,-755,5.97,-41.9,89.7
1.493,-755,5.97,-41.9,89.8
1.494,-755,5.98,-41.9,89.9
1.495,-755,5.98,-41.9,89.9
1.497,-757,5.99,-42,90
1.498,-757,5.99,-42,90
1.499,-757,6,-42,90.1
1.5,-757,6,-42,90.2
1.501,-757,6,-42,90.2
1.502,-757,6.01,-42,90.3
1.503,-757,6.01,-42,90.4
1.504,-755,6.02,-41.9,90.4
1.505,-755,6.02,-41.9,90.5
1.506,-755,6.02,-41.9,90.5
1.507,-755,6.03,-41.9,90.6
1.508,-755,6.03,-41.9,90.7
1.509,-755,6.04,-41.9,90.7
1.51,-755,6.04,-41.9,90.8
1.511,-757,6.04,-42,90.9
1.512,-757,6.05,-42,90.9
1.513,-757,6.05,-42,91
1.514,-757,6.06,-42,91
1.515,-755,6.06,-41.9,91.1
1.516,-755,6.06,-41.9,91.2
1.517,-755,6.07,-41.9,91.2
1.518,-755,6.07,-41.9,91.3
1.519,-755,6.08,-41.9,91.4
1.52,-755,6.08,-41.9,91.4
1.521,-757,6.08,-42,91.5
1.523,-755,6.09,-41.9,91.5
1.524,-755,6.1,-41.9,91.6
1.525,-755,6.1,-41.9,91.7
1.525,-755,6.1,-41.9,91.7
1.526,-755,6.1,-41.9,91.8
1.528,-755,6.11,-41.9,91.9
1.529,-755,6.12,-41.9,91.9
1.53,-755,6.12,-41.9,92
1.531,-755,6.12,-41.9,92
1.532,-757,6.13,-42,92.1
1.533,-755,6.13,-41.9,92.2
1.534,-755,6.14,-41.9,92.2
1.535,-755,6.14,-41.9,92.3
1.536,-755,6.14,-41.9,92.4
1.537,-757,6.15,-42,92.4
1.538,-757,6.15,-42,92.5
1.539,-757,6.16,-42,92.5
1.54,-757,6.16,-42,92.6
1.541,-757,6.16,-42,92.7
1.542,-757,6.17,-42,92.7
1.543,-757,6.17,-42,92.8
1.544,-757,6.18,-42,92.9
1.545,-757,6.18,-42,92.9
1.546,-757,6.18,-42,93
1.548,-757,6.19,-42,93
1.549,-757,6.2,-42,93.1
1.55,-757,6.2,-42,93.2
1.551,-757,6.2,-42,93.2
1.551,-757,6.2,-42,93.3
1.553,-757,6.21,-42,93.4
1.554,-757,6.22,-42,93.4
1.555,-757,6.22,-42,93.5
1.556,-757,6.22,-42,93.5
1.557,-757,6.23,-42,93.6
1.558,-757,6.23,-42,93.7
1.559,-757,6.24,-42,93.7
1.56,-757,6.24,-42,93.8
1.561,-757,6.24,-42,93.9
1.562,-757,6.25,-42,93.9
1.563,-757,6.25,-42,94
1.564,-757,6.26,-42,94
1.565,-757,6.26,-42,94.1
1.566,-757,6.26,-42,94.2
1.567,-757,6.27,-42,94.2
1.568,-757,6.27,-42,94.3
1.569,-757,6.28,-42,94.4
1.57,-757,6.28,-42,94.4
1.571,-757,6.28,-42,94.5
1.573,-757,6.29,-42,94.5
1.574,-757,6.3,-42,94.6
1.575,-757,6.3,-42,94.7
1.576,-757,6.3,-42,94.7
1.577,-757,6.31,-42,94.8
1.578,-757,6.31,-42,94.9
1.579,-757,6.32,-42,94.9
1.58,-757,6.32,-42,95
1.581,-757,6.32,-42,95
1.582,-757,6.33,-42,95.1
1.583,-757,6.33,-42,95.2
1.584,-755,6.34,-41.9,95.2
1.585,-755,6.34,-41.9,95.3
1.586,-755,6.34,-41.9,95.4
1.587,-757,6.35,-42,95.4
1.588,-757,6.35,-42,95.5
1.589,-757,6.36,-42,95.5
1.59,-755,6.36,-41.9,95.6
1.591,-755,6.36,-41.9,95.7
1.592,-755,6.37,-41.9,95.7
1.593,-755,6.37,-41.9,95.8
1.594,-757,6.38,-42,95.9
1.595,-755,6.38,-41.9,95.9
1.596,-757,6.38,-42,96
1.597,-757,6.39,-42,96
1.599,-757,6.4,-42,96.1
1.6,-755,6.4,-41.9,96.2
1.601,-757,6.4,-42,96.2
1.602,-757,6.41,-42,96.3
1.603,-757,6.41,-42,96.4
1.604,-757,6.42,-42,96.4
1.605,-755,6.42,-41.9,96.5
1.606,-757,6.42,-42,96.5
1.607,-757,6.43,-42,96.6
1.608,-757,6.43,-42,96.7
1.609,-755,6.44,-41.9,96.7
1.61,-757,6.44,-42,96.8
1.611,-757,6.44,-42,96.9
1.612,-757,6.45,-42,96.9
1.613,-757,6.45,-42,97
1.614,-757,6.46,-42,97
1.615,-755,6.46,-41.9,97.1
1.616,-755,6.46,-41.9,97.2
1.617,-757,6.47,-42,97.2
1.618,-757,6.47,-42,97.3
1.619,-757,6.48,-42,97.4
1.62,-757,6.48,-42,97.4
1.621,-757,6.48,-42,97.5
1.622,-757,6.49,-42,97.5
1.623,-757,6.49,-42,97.6
1.625,-757,6.5,-42,97.7
1.626,-755,6.5,-41.9,97.7
1.627,-757,6.51,-42,97.8
1.628,-757,6.51,-42,97.9
1.629,-757,6.52,-42,97.9
1.63,-757,6.52,-42,98
1.631,-755,6.52,-41.9,98
1.632,-757,6.53,-42,98.1
1.633,-757,6.53,-42,98.2
1.634,-757,6.54,-42,98.2
1.635,-757,6.54,-42,98.3
1.636,-757,6.54,-42,98.4
1.637,-757,6.55,-42,98.4
1.638,-755,6.55,-41.9,98.5
1.639,-755,6.56,-41.9,98.5
1.64,-755,6.56,-41.9,98.6
1.641,-755,6.56,-41.9,98.7
1.642,-755,6.57,-41.9,98.7
1.643,-755,6.57,-41.9,98.8
1.645,-755,6.58,-41.9,98.9
1.645,-755,6.58,-41.9,98.9
*****************************End of Data*****************************
